Charlotte Hornets,Miami Heat,Charlotte Hornets
Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers
Los Angeles Lakers,Dallas Mavericks,Dallas Mavericks
Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies
Phoenix Suns,Toronto Raptors,Phoenix Suns
Utah Jazz,Philadelphia 76ers,Utah Jazz
Atlanta Hawks,Detroit Pistons,Atlanta Hawks
Boston Celtics,Miami Heat,Boston Celtics
Denver Nuggets,Philadelphia 76ers,Philadelphia 76ers
Golden State Warriors,Dallas Mavericks,Golden State Warriors
Houston Rockets,Los Angeles Clippers,Houston Rockets
Indiana Pacers,Chicago Bulls,Indiana Pacers
Minnesota Timberwolves,Milwaukee Bucks,Minnesota Timberwolves
New Orleans Pelicans,New York Knicks,New Orleans Pelicans
San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs
Washington Wizards,Brooklyn Nets,Washington Wizards
Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks
Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers
Houston Rockets,New York Knicks,Houston Rockets
Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder
Sacramento Kings,Memphis Grizzlies,Memphis Grizzlies
Utah Jazz,Phoenix Suns,Utah Jazz
