player_id,team_id,player_name,team,plus_minus,ortg,fic,tsp,efgp,fgp,drtg
72,4,Gerald Henderson,Philadelphia 76ers,-3.571428571,92.28571429,4.857142857,0.469844764,0.447420635,0.388888889,107.2857143
81,4,Hollis Thompson,Philadelphia 76ers,-4,103,4.089285714,0.519020987,0.499603175,0.422222222,109.7142857
533,4,Nik Stauskas,Philadelphia 76ers,-4.285714286,124.1428571,7.946428571,0.724557971,0.710459184,0.580952381,110
4673,4,Jerami Grant,Philadelphia 76ers,-7,66,1.625,0.383817911,0.342857143,0.342857143,102
4685,4,Robert Covington,Philadelphia 76ers,-5.285714286,65.85714286,3.107142857,0.297246169,0.24599686,0.179565672,103
33443,4,Jahlil Okafor,Philadelphia 76ers,-2.857142857,82.28571429,3.75,0.413630894,0.379128015,0.379128015,108
33444,4,Richaun Holmes,Philadelphia 76ers,-5.833333333,113.5,5.833333333,0.625694444,0.615277778,0.615277778,98.33333333
33449,4,T.J. McConnell,Philadelphia 76ers,-3.857142857,111.8571429,7.553571429,0.580987996,0.555555556,0.513888889,105.1428571
66519,4,Dario Saric,Philadelphia 76ers,-1.857142857,84.57142857,6.142857143,0.442132656,0.406380128,0.346650175,107.1428571
66520,4,Sergio Rodriguez,Philadelphia 76ers,-6.285714286,81,8.714285714,0.356829282,0.356829282,0.311415965,109.4285714
66525,4,Timothe Luwawu-Cabarrot,Philadelphia 76ers,-5.8,56,0.6,0.285034014,0.26,0.24,111.8
66527,4,Joel Embiid,Philadelphia 76ers,-2.714285714,96,10.26785714,0.613433377,0.552174908,0.498521716,100
239,5,DeMarre Carroll,Toronto Raptors,-8.8,93,5.15,0.453085521,0.425,0.357142857,112.2
246,5,Patrick Patterson,Toronto Raptors,8.666666667,99.16666667,6.125,0.468579294,0.458068783,0.354431217,113.1666667
248,5,Kyle Lowry,Toronto Raptors,8.333333333,106.8333333,13.25,0.536948045,0.47760181,0.412333459,108.3333333
250,5,Terrence Ross,Toronto Raptors,4.333333333,135,6.770833333,0.643117732,0.578472222,0.509722222,111.5
252,5,Lucas Nogueira,Toronto Raptors,10,139.25,9.5625,0.575581395,0.555555556,0.555555556,104.25
253,5,DeMar DeRozan,Toronto Raptors,-2.333333333,116.8333333,16.72916667,0.570964524,0.479930014,0.468054007,113
257,5,Jonas Valanciunas,Toronto Raptors,-2.833333333,130.8333333,12.70833333,0.705897713,0.631944444,0.631944444,105.8333333
497,5,Cory Joseph,Toronto Raptors,-1.333333333,88.16666667,3.895833333,0.424831017,0.374404762,0.336904762,111.5
33794,5,Norman Powell,Toronto Raptors,8.6,147,6.2,0.771915523,0.676666667,0.513333333,112.6
67474,5,Pascal Siakam,Toronto Raptors,-4.666666667,97.33333333,4.3125,0.482312092,0.477777778,0.477777778,112.3333333
67478,5,Jakob Poeltl,Toronto Raptors,7.5,86,3.375,0.409836066,0.25,0.25,99
43,6,Rajon Rondo,Chicago Bulls,1.5,87.5,9.075,0.374233317,0.348906926,0.330234488,105.9
88,6,Michael Carter-Williams,Chicago Bulls,3.333333333,68,3.25,0.258424408,0.222222222,0.194444444,91.33333333
147,6,Dwyane Wade,Chicago Bulls,0.8,107,10.05,0.517063336,0.453385944,0.420046326,105.1
161,6,Doug McDermott,Chicago Bulls,3.666666667,117.8888889,6.402777778,0.583768374,0.543542569,0.505663781,110.3333333
163,6,Nikola Mirotic,Chicago Bulls,5,105.5,7.725,0.528041511,0.472186147,0.371529582,107
164,6,Taj Gibson,Chicago Bulls,4.1,108.8,10.8,0.545572403,0.536993562,0.536993562,104.9
223,6,Robin Lopez,Chicago Bulls,0.5,118.6,8.45,0.517415802,0.490654762,0.490654762,108.1
261,6,Isaiah Canaan,Chicago Bulls,-0.7,103.6,4.8375,0.483660303,0.414801587,0.329285714,108.2
1862,6,Jimmy Butler,Chicago Bulls,6,131.8,17.2875,0.657534442,0.5561156,0.504060098,105.8
33407,6,Bobby Portis,Chicago Bulls,-0.333333333,107.2222222,4.458333333,0.534049311,0.537037037,0.530864198,109.2222222
33628,6,Jerian Grant,Chicago Bulls,5,71.8,2.625,0.329487179,0.304761905,0.29047619,110.6
33984,6,Cristiano Felicio,Chicago Bulls,2,131,3.535714286,0.589002268,0.561904762,0.561904762,108.7142857
66606,6,Paul Zipser,Chicago Bulls,2.25,86.5,1.4375,0,0,0,98.25
66608,6,Denzel Valentine,Chicago Bulls,1.666666667,79.33333333,0.791666667,0.503092784,0.5,0.333333333,113.6666667
145,7,Chris Andersen,Cleveland Cavaliers,-0.666666667,124.1666667,3.083333333,0.555531432,0.472222222,0.472222222,97.5
162,7,Mike Dunleavy,Cleveland Cavaliers,0.5,106.5,3.325,0.540933594,0.476666667,0.373333333,107.1
177,7,Iman Shumpert,Cleveland Cavaliers,0.454545455,122.2727273,5.738636364,0.705231906,0.666341991,0.532900433,107.2727273
180,7,J.R. Smith,Cleveland Cavaliers,11.2,112.4,6.025,0.586067628,0.573485681,0.399029304,106.3
302,7,LeBron James,Cleveland Cavaliers,13.63636364,116.7272727,20.07954545,0.585148897,0.550896855,0.502388504,105.0909091
303,7,Kevin Love,Cleveland Cavaliers,9.727272727,121.9090909,16.52272727,0.620093356,0.545207856,0.459412401,102
305,7,James Jones,Cleveland Cavaliers,-2,91.71428571,1.5,0.673611111,0.65,0.466666667,107
307,7,Kyrie Irving,Cleveland Cavaliers,8.818181818,122.4545455,13.47727273,0.620971479,0.584286539,0.503503911,110
308,7,Tristan Thompson,Cleveland Cavaliers,8.272727273,128.0909091,12.25,0.505661505,0.518073593,0.518073593,101.7272727
335,7,Richard Jefferson,Cleveland Cavaliers,4.363636364,125.0909091,4.295454545,0.581654443,0.543214286,0.466428571,109
380,7,Channing Frye,Cleveland Cavaliers,5.25,108.875,6.375,0.570438514,0.561755952,0.398859127,104.5
51353,7,Jordan McRae,Cleveland Cavaliers,-2.5,63.5,1.390625,0.3614268,0.33994709,0.316137566,110.125
66349,7,DeAndre Liggins,Cleveland Cavaliers,-1.285714286,67.57142857,1.803571429,0.528553452,0.466666667,0.466666667,112.1428571
66856,7,Kay Felder,Cleveland Cavaliers,2,119.2,1.8,0.336407104,0.333333333,0.333333333,108.6
1,8,Tobias Harris,Detroit Pistons,2.555555556,109.2222222,10.11805556,0.569773283,0.529671756,0.483502917,106.1666667
118,8,Jon Leuer,Detroit Pistons,2.333333333,115.7777778,9.375,0.555329625,0.526856862,0.483810325,105.5
119,8,Beno Udrih,Detroit Pistons,2.055555556,109.7777778,5.493055556,0.524401431,0.494235009,0.455974427,109.5555556
205,8,Marcus Morris,Detroit Pistons,0.722222222,101.6666667,7.854166667,0.503313722,0.485151268,0.437284475,107.1111111
351,8,Reggie Bullock,Detroit Pistons,3.333333333,110,4.333333333,0.575,0.575,0.5,111
503,8,Aron Baynes,Detroit Pistons,3,89.5,3.854166667,0.448215321,0.317431588,0.317431588,103.8333333
2930,8,Ish Smith,Detroit Pistons,-0.055555556,104.6666667,9.972222222,0.486741089,0.462041082,0.444540064,106.4444444
6047,8,Andre Drummond,Detroit Pistons,-3,101.2941176,15.30147059,0.503084574,0.496788261,0.493847084,96.58823529
6055,8,Kentavious Caldwell-Pope,Detroit Pistons,2.611111111,107,9.479166667,0.514019511,0.473786626,0.394290894,107.6111111
33371,8,Stanley Johnson,Detroit Pistons,-1.8,92.73333333,2.95,0.499959769,0.476282051,0.430952381,102.2
33373,8,Darrun Hilliard,Detroit Pistons,-0.333333333,93.33333333,1.416666667,0.424897865,0.359375,0.333333333,108.7777778
34188,8,Boban Marjanovic,Detroit Pistons,1.166666667,74.66666667,1.9375,0.35797491,0.305555556,0.305555556,96
66730,8,Henry Ellenson,Detroit Pistons,-1.25,105.25,1.125,0.5,0.5,0.5,86
66731,8,Michael Gbinije,Detroit Pistons,-1,44,0.3125,0.166666667,0.166666667,0.166666667,103
68,9,Al Jefferson,Indiana Pacers,-2.75,92.83333333,4.947916667,0.468820347,0.447186147,0.447186147,112.25
97,9,C.J. Miles,Indiana Pacers,0,111.8181818,8.761363636,0.583556506,0.559195855,0.454197822,109.0909091
102,9,Rodney Stuckey,Indiana Pacers,-7.5,62.5,0.84375,0.329320355,0.291666667,0.270833333,121.75
103,9,Lavoy Allen,Indiana Pacers,-4.083333333,104.25,3.916666667,0.43385946,0.368055556,0.368055556,113.5833333
107,9,Thaddeus Young,Indiana Pacers,-2.416666667,106.8333333,10.08333333,0.556706561,0.555208333,0.517361111,110.5833333
109,9,Glenn Robinson,Indiana Pacers,-8.5,86.4,4.05,0.411614083,0.4501924,0.431144781,115.4
141,9,Kevin Seraphin,Indiana Pacers,0.444444444,88.77777778,3.777777778,0.480343048,0.526041667,0.526041667,111.4444444
166,9,Aaron Brooks,Indiana Pacers,2,89.77777778,3.180555556,0.529962777,0.505731922,0.417416226,115.5555556
245,9,Jeff Teague,Indiana Pacers,-5.75,97,10.07291667,0.478812616,0.409224456,0.373742692,112.1666667
330,9,Monta Ellis,Indiana Pacers,-1.833333333,99.16666667,8.041666667,0.515448177,0.463054891,0.438731298,113.5833333
29146,9,Paul George,Indiana Pacers,-0.222222222,105.5555556,13.375,0.583812449,0.537947932,0.45290404,106.8888889
33776,9,Myles Turner,Indiana Pacers,-1.416666667,110.9166667,12.39583333,0.608441276,0.554602865,0.540835809,107.1666667
33784,9,Joe Young,Indiana Pacers,-1.6,68.1,1.7375,0.436108402,0.378869048,0.350595238,121.4
